MIDA;COST;DEVIATION
1000;433.57;332.8344079268254
2000;849.452;657.2416174406475
3000;1323.1673333333333;996.2595525261219
4000;1753.27925;1343.7237345412298
5000;2222.147;1670.8729606379331
6000;2604.074666666667;2005.489065645806
7000;2992.0612857142855;2321.007146130091
8000;3460.7615;2623.0104126971664
9000;3931.8454444444446;3040.664926185499
10000;4248.3249;3300.1583990378153
11000;4737.267454545455;3627.8772852999728
12000;5105.51425;3986.3616523044816
13000;5642.957692307692;4336.840723390216
14000;6046.322785714286;4644.571928332405
15000;6557.604266666666;5012.333517653758
16000;6938.6481875;5304.327843036707
17000;7240.013588235294;5663.933000600169
18000;7767.128333333333;5974.283518927701
19000;8252.173736842105;6326.944342336702
20000;8715.09515;6684.181380871952
21000;9101.61661904762;6974.679687229129
22000;9537.611181818182;7308.515949885508
23000;9794.63352173913;7596.582058519659
24000;10482.258708333333;8052.200180847641
25000;10851.2562;8291.22481481719
26000;11212.292423076922;8633.837569759093
27000;11705.941333333334;8950.445651294542
28000;12094.314142857143;9251.780584477208
29000;12526.01775862069;9627.489738233391
30000;13065.391366666667;9973.787356355244
31000;13457.267548387097;10304.458836834969
32000;13839.980625;10596.104326520046
33000;14272.700818181818;10959.98451040834
34000;14644.591176470589;11233.132170043904
35000;15028.673257142857;11552.284451947988
36000;15551.107777777777;11926.738368658946
37000;16004.286756756757;12279.949300121525
38000;16316.681210526316;12575.875476869443
39000;16926.756564102565;12932.133575659505
40000;17310.413;13324.239223878361
41000;17713.68187804878;13594.46528451653
42000;18067.786666666667;13943.836432980754
43000;18547.624906976744;14292.380459580978
44000;18875.71281818182;14564.249356721892
45000;19446.8554;14964.550538876378
46000;19941.889347826087;15237.417471596713
47000;20349.196340425533;15520.361520353137
48000;20805.1110625;15986.06337581911
49000;21259.421346938776;16269.35262116588
50000;21569.07704;16550.833129520874
